alt_text,brand,image_path,image_url,is_base64,link,price,title
Tenis Menino Infantil Ad Escolar Esportivo Merks ,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$62,90",Tenis Menino Infantil Ad Escolar Esportivo Merks 
Tenis Masculino Olympikus Proof ,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,R$209,Tenis Masculino Olympikus Proof 
Tênis Academia Masculino Corrida Caminhada Esporte Dia A Dia,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$64,90",Tênis Academia Masculino Corrida Caminhada Esporte Dia A Dia
Tênis Olympikus Proof 3 Masculino Esportivo Original,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,R$230,Tênis Olympikus Proof 3 Masculino Esportivo Original
Tênis Confortavel Leve Unissex Academia Caminhada Corrida,OUTRO,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$53,10",Tênis Confortavel Leve Unissex Academia Caminhada Corrida
Tênis Masculino Casual Original Sneaker,RAYON,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$76,55",Tênis Masculino Casual Original Sneaker
Tênis Masculino Sem Cadarço Meia Calce Fácil Academia Treino,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$74,10",Tênis Masculino Sem Cadarço Meia Calce Fácil Academia Treino
Olympikus Diffuse 5 Masculino Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$249,99",Olympikus Diffuse 5 Masculino Adultos
Tenis Academia Caminhada Leve Bonito Resistente Lindo Crosfi,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$77,17",Tenis Academia Caminhada Leve Bonito Resistente Lindo Crosfi
Tenis Fila Recovery Confortável Macio Ultra Leve - Masculino,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$300,69",Tenis Fila Recovery Confortável Macio Ultra Leve - Masculino
Tênis De Corrida Masculino Goya 2 Cabedal Em Tecido Mizuno,MIZUNO,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$285,99",Tênis De Corrida Masculino Goya 2 Cabedal Em Tecido Mizuno
Tênis Fila Efecto Masculino: Conforto E Estilo Para Você!,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$227,47",Tênis Fila Efecto Masculino: Conforto E Estilo Para Você!
Tênis Masculino E Feminino Quicker Under Armour,UNDER ARMOUR,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$293,99",Tênis Masculino E Feminino Quicker Under Armour
Olympikus Casual Soma Masculino Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$169,99",Olympikus Casual Soma Masculino Adultos
Tênis Diffusion Fila Masculino -original Corrida Confortável,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$251,81",Tênis Diffusion Fila Masculino -original Corrida Confortável
Sapatilha Nautica Para Pesca Esportivas E Aventuras Diversas,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$38,55",Sapatilha Nautica Para Pesca Esportivas E Aventuras Diversas
Olympikus Wellness 2 Masculino Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$199,32",Olympikus Wellness 2 Masculino Adultos
Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$215,84",Tenis Fila Efecto Masculino Caminhada Corrida Mesh Original
Tênis Masculino Neblina Olympikus Novo,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$209,99",Tênis Masculino Neblina Olympikus Novo
Tenis Olympikus Challenger 5 Masculino Original,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$299,25",Tenis Olympikus Challenger 5 Masculino Original
Tênis Masc Olympikus Proof Tamanho Especial 44-45-46-47-48,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$210,19",Tênis Masc Olympikus Proof Tamanho Especial 44-45-46-47-48
Asics Gel-Sparta 2 Masculino Adultos,ASICS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,R$412,Asics Gel-Sparta 2 Masculino Adultos
Tênis Masculino Esportivo Academia Advanced Solado Extraleve,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$77,94",Tênis Masculino Esportivo Academia Advanced Solado Extraleve
Tênis Skechers Ultra Flex 2.0 Masculino,SKECHERS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$338,99",Tênis Skechers Ultra Flex 2.0 Masculino
Tênis De Corrida Olympikus Circuito Masculino,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$319,20",Tênis De Corrida Olympikus Circuito Masculino
Tênis Masculino Esportivo Casual Leve Confortável + Relógio,DM DAMANDO,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$73,86",Tênis Masculino Esportivo Casual Leve Confortável + Relógio
Tenis Masculino Unissex Botinha Casual Academia Urbano,OLDSEN,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$75,03",Tenis Masculino Unissex Botinha Casual Academia Urbano
Tênis Masculino Go Run Fast Skechers,SKECHERS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$348,94",Tênis Masculino Go Run Fast Skechers
